PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,ESTU_DEDICACIONINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2017-01-01,AMAZONAS,Estrato 1,NO,Estrato 1 - NO,220.22784810126583,79
2017-01-01,AMAZONAS,Estrato 1,SI,Estrato 1 - SI,226.39810426540285,211
2017-01-01,AMAZONAS,Estrato 2,NO,Estrato 2 - NO,219.68571428571428,35
2017-01-01,AMAZONAS,Estrato 2,SI,Estrato 2 - SI,241.6534090909091,176
2017-01-01,AMAZONAS,Estrato 3,NO,Estrato 3 - NO,236.2,15
2017-01-01,AMAZONAS,Estrato 3,SI,Estrato 3 - SI,258.425,80
2017-01-01,AMAZONAS,Sin Estrato,NO,Sin Estrato - NO,208.27118644067798,59
2017-01-01,AMAZONAS,Sin Estrato,SI,Sin Estrato - SI,210.62637362637363,91
2017-01-01,ANTIOQUIA,Estrato 1,NO,Estrato 1 - NO,220.6854571293226,2111
2017-01-01,ANTIOQUIA,Estrato 1,SI,Estrato 1 - SI,239.16163778222744,14483
2017-01-01,ANTIOQUIA,Estrato 2,NO,Estrato 2 - NO,229.0480461242793,1561
2017-01-01,ANTIOQUIA,Estrato 2,SI,Estrato 2 - SI,253.14333307804242,26114
2017-01-01,ANTIOQUIA,Estrato 3,NO,Estrato 3 - NO,225.07212475633528,513
2017-01-01,ANTIOQUIA,Estrato 3,SI,Estrato 3 - SI,267.8157568604308,16945
2017-01-01,ANTIOQUIA,Sin Estrato,NO,Sin Estrato - NO,206.5645933014354,209
2017-01-01,ANTIOQUIA,Sin Estrato,SI,Sin Estrato - SI,219.20609756097562,820
2017-01-01,ARAUCA,Estrato 1,NO,Estrato 1 - NO,242.4907063197026,269
2017-01-01,ARAUCA,Estrato 1,SI,Estrato 1 - SI,254.60562414266118,1458
2017-01-01,ARAUCA,Estrato 2,NO,Estrato 2 - NO,238.61702127659575,47
2017-01-01,ARAUCA,Estrato 2,SI,Estrato 2 - SI,260.992,625
2017-01-01,ARAUCA,Estrato 3,NO,Estrato 3 - NO,252.1875,16
2017-01-01,ARAUCA,Estrato 3,SI,Estrato 3 - SI,256.63186813186815,182
2017-01-01,ARAUCA,Sin Estrato,NO,Sin Estrato - NO,225.66666666666666,39
2017-01-01,ARAUCA,Sin Estrato,SI,Sin Estrato - SI,238.0608695652174,115
2017-01-01,ATLANTICO,Estrato 1,NO,Estrato 1 - NO,230.89071038251367,732
2017-01-01,ATLANTICO,Estrato 1,SI,Estrato 1 - SI,244.24265402843602,11605
2017-01-01,ATLANTICO,Estrato 2,NO,Estrato 2 - NO,230.42066420664207,271
2017-01-01,ATLANTICO,Estrato 2,SI,Estrato 2 - SI,255.45654794520547,9125
2017-01-01,ATLANTICO,Estrato 3,NO,Estrato 3 - NO,225.02479338842974,121
2017-01-01,ATLANTICO,Estrato 3,SI,Estrato 3 - SI,261.0980432972523,4804
2017-01-01,ATLANTICO,Sin Estrato,NO,Sin Estrato - NO,206.59036144578315,83
2017-01-01,ATLANTICO,Sin Estrato,SI,Sin Estrato - SI,214.75465313028764,591
2017-01-01,BOGOTA,Estrato 1,NO,Estrato 1 - NO,237.88489208633092,556
2017-01-01,BOGOTA,Estrato 1,SI,Estrato 1 - SI,254.20991547874354,7927
2017-01-01,BOGOTA,Estrato 2,NO,Estrato 2 - NO,246.5644699140401,1047
2017-01-01,BOGOTA,Estrato 2,SI,Estrato 2 - SI,268.19345482405737,36546
2017-01-01,BOGOTA,Estrato 3,NO,Estrato 3 - NO,251.5011135857461,449
2017-01-01,BOGOTA,Estrato 3,SI,Estrato 3 - SI,283.59721034278573,30398
2017-01-01,BOGOTA,Sin Estrato,NO,Sin Estrato - NO,237.9047619047619,63
2017-01-01,BOGOTA,Sin Estrato,SI,Sin Estrato - SI,238.40618101545255,453
2017-01-01,BOLIVAR,Estrato 1,NO,Estrato 1 - NO,225.7647754137116,846
2017-01-01,BOLIVAR,Estrato 1,SI,Estrato 1 - SI,237.13123081807598,9449
2017-01-01,BOLIVAR,Estrato 2,NO,Estrato 2 - NO,229.27169811320755,265
2017-01-01,BOLIVAR,Estrato 2,SI,Estrato 2 - SI,249.49948096885814,5780
2017-01-01,BOLIVAR,Estrato 3,NO,Estrato 3 - NO,219.31623931623932,117
2017-01-01,BOLIVAR,Estrato 3,SI,Estrato 3 - SI,252.91947626841244,3055
2017-01-01,BOLIVAR,Sin Estrato,NO,Sin Estrato - NO,200.53813559322035,236
2017-01-01,BOLIVAR,Sin Estrato,SI,Sin Estrato - SI,211.41987466427932,1117
2017-01-01,BOYACA,Estrato 1,NO,Estrato 1 - NO,251.46314325452016,719
2017-01-01,BOYACA,Estrato 1,SI,Estrato 1 - SI,256.4342602892102,4495
2017-01-01,BOYACA,Estrato 2,NO,Estrato 2 - NO,263.4004024144869,497
2017-01-01,BOYACA,Estrato 2,SI,Estrato 2 - SI,272.94646562456774,7229
2017-01-01,BOYACA,Estrato 3,NO,Estrato 3 - NO,244.59420289855072,69
2017-01-01,BOYACA,Estrato 3,SI,Estrato 3 - SI,285.4991204925242,2274
2017-01-01,BOYACA,Sin Estrato,NO,Sin Estrato - NO,239.725,40
2017-01-01,BOYACA,Sin Estrato,SI,Sin Estrato - SI,246.54225352112675,142
2017-01-01,CALDAS,Estrato 1,NO,Estrato 1 - NO,232.9494680851064,376
2017-01-01,CALDAS,Estrato 1,SI,Estrato 1 - SI,245.4160853508412,2437
2017-01-01,CALDAS,Estrato 2,NO,Estrato 2 - NO,236.25762711864408,295
2017-01-01,CALDAS,Estrato 2,SI,Estrato 2 - SI,254.39939276842395,3623
2017-01-01,CALDAS,Estrato 3,NO,Estrato 3 - NO,239.74285714285713,70
2017-01-01,CALDAS,Estrato 3,SI,Estrato 3 - SI,269.2392055267703,2316
2017-01-01,CALDAS,Sin Estrato,NO,Sin Estrato - NO,216.27272727272728,33
2017-01-01,CALDAS,Sin Estrato,SI,Sin Estrato - SI,238.3170731707317,164
2017-01-01,CAQUETA,Estrato 1,NO,Estrato 1 - NO,230.8779761904762,336
2017-01-01,CAQUETA,Estrato 1,SI,Estrato 1 - SI,249.5828511309837,1901
2017-01-01,CAQUETA,Estrato 2,NO,Estrato 2 - NO,240.85897435897436,78
2017-01-01,CAQUETA,Estrato 2,SI,Estrato 2 - SI,255.72617743702082,913
2017-01-01,CAQUETA,Estrato 3,NO,Estrato 3 - NO,216.8846153846154,26
2017-01-01,CAQUETA,Estrato 3,SI,Estrato 3 - SI,247.2668918918919,296
2017-01-01,CAQUETA,Sin Estrato,NO,Sin Estrato - NO,207.825,80
2017-01-01,CAQUETA,Sin Estrato,SI,Sin Estrato - SI,218.8057142857143,175
2017-01-01,CASANARE,Estrato 1,NO,Estrato 1 - NO,238.6955380577428,381
2017-01-01,CASANARE,Estrato 1,SI,Estrato 1 - SI,253.39953810623555,2165
2017-01-01,CASANARE,Estrato 2,NO,Estrato 2 - NO,244.04511278195488,133
2017-01-01,CASANARE,Estrato 2,SI,Estrato 2 - SI,263.7314375987362,1899
2017-01-01,CASANARE,Estrato 3,NO,Estrato 3 - NO,239.96,25
2017-01-01,CASANARE,Estrato 3,SI,Estrato 3 - SI,270.2024048096192,499
2017-01-01,CASANARE,Sin Estrato,NO,Sin Estrato - NO,214.9512195121951,41
2017-01-01,CASANARE,Sin Estrato,SI,Sin Estrato - SI,229.1090909090909,110
2017-01-01,CAUCA,Estrato 1,NO,Estrato 1 - NO,230.4734432234432,1092
2017-01-01,CAUCA,Estrato 1,SI,Estrato 1 - SI,238.71024042742653,5615
2017-01-01,CAUCA,Estrato 2,NO,Estrato 2 - NO,233.98969072164948,291
2017-01-01,CAUCA,Estrato 2,SI,Estrato 2 - SI,246.81096929975854,2899
2017-01-01,CAUCA,Estrato 3,NO,Estrato 3 - NO,214.63366336633663,101
2017-01-01,CAUCA,Estrato 3,SI,Estrato 3 - SI,245.17637130801688,1185
2017-01-01,CAUCA,Sin Estrato,NO,Sin Estrato - NO,212.13333333333333,195
2017-01-01,CAUCA,Sin Estrato,SI,Sin Estrato - SI,214.80599369085172,634
2017-01-01,CESAR,Estrato 1,NO,Estrato 1 - NO,238.04172876304023,671
2017-01-01,CESAR,Estrato 1,SI,Estrato 1 - SI,244.1178529754959,5999
2017-01-01,CESAR,Estrato 2,NO,Estrato 2 - NO,238.58860759493672,158
2017-01-01,CESAR,Estrato 2,SI,Estrato 2 - SI,255.6875414181577,3018
2017-01-01,CESAR,Estrato 3,NO,Estrato 3 - NO,227.70689655172413,58
2017-01-01,CESAR,Estrato 3,SI,Estrato 3 - SI,265.31508078994614,1114
2017-01-01,CESAR,Sin Estrato,NO,Sin Estrato - NO,214.33018867924528,106
2017-01-01,CESAR,Sin Estrato,SI,Sin Estrato - SI,220.64156626506025,332
2017-01-01,CHOCO,Estrato 1,NO,Estrato 1 - NO,209.6880733944954,218
2017-01-01,CHOCO,Estrato 1,SI,Estrato 1 - SI,224.67318132464712,1842
2017-01-01,CHOCO,Estrato 2,NO,Estrato 2 - NO,202.40350877192984,57
2017-01-01,CHOCO,Estrato 2,SI,Estrato 2 - SI,222.15859766277129,599
2017-01-01,CHOCO,Estrato 3,NO,Estrato 3 - NO,194.3658536585366,41
2017-01-01,CHOCO,Estrato 3,SI,Estrato 3 - SI,215.63532763532763,351
2017-01-01,CHOCO,Sin Estrato,NO,Sin Estrato - NO,194.73170731707316,82
2017-01-01,CHOCO,Sin Estrato,SI,Sin Estrato - SI,199.75477707006368,314
2017-01-01,CORDOBA,Estrato 1,NO,Estrato 1 - NO,237.73006134969324,1304
2017-01-01,CORDOBA,Estrato 1,SI,Estrato 1 - SI,248.80031308091185,10221
2017-01-01,CORDOBA,Estrato 2,NO,Estrato 2 - NO,229.90393013100436,229
2017-01-01,CORDOBA,Estrato 2,SI,Estrato 2 - SI,256.6614278103356,3754
2017-01-01,CORDOBA,Estrato 3,NO,Estrato 3 - NO,224.9468085106383,94
2017-01-01,CORDOBA,Estrato 3,SI,Estrato 3 - SI,248.79843137254903,1275
2017-01-01,CORDOBA,Sin Estrato,NO,Sin Estrato - NO,211.66976744186047,215
2017-01-01,CORDOBA,Sin Estrato,SI,Sin Estrato - SI,217.464447806354,661
2017-01-01,CUNDINAMARCA,Estrato 1,NO,Estrato 1 - NO,238.07905982905982,936
2017-01-01,CUNDINAMARCA,Estrato 1,SI,Estrato 1 - SI,251.18639139284676,6878
2017-01-01,CUNDINAMARCA,Estrato 2,NO,Estrato 2 - NO,250.29439252336448,856
2017-01-01,CUNDINAMARCA,Estrato 2,SI,Estrato 2 - SI,264.01729413329787,15034
2017-01-01,CUNDINAMARCA,Estrato 3,NO,Estrato 3 - NO,244.02304147465438,217
2017-01-01,CUNDINAMARCA,Estrato 3,SI,Estrato 3 - SI,271.35583768391075,8428
2017-01-01,CUNDINAMARCA,Sin Estrato,NO,Sin Estrato - NO,226.83823529411765,68
2017-01-01,CUNDINAMARCA,Sin Estrato,SI,Sin Estrato - SI,243.69408740359899,389
2017-01-01,EXTRANJERO,Estrato 1,SI,Estrato 1 - SI,223.0,1
2017-01-01,EXTRANJERO,Estrato 2,SI,Estrato 2 - SI,224.0,1
2017-01-01,EXTRANJERO,Sin Estrato,SI,Sin Estrato - SI,248.0,1
2017-01-01,GUAINIA,Estrato 1,NO,Estrato 1 - NO,249.9,30
2017-01-01,GUAINIA,Estrato 1,SI,Estrato 1 - SI,251.20731707317074,82
2017-01-01,GUAINIA,Estrato 2,NO,Estrato 2 - NO,249.0,7
2017-01-01,GUAINIA,Estrato 2,SI,Estrato 2 - SI,258.82,50
2017-01-01,GUAINIA,Estrato 3,SI,Estrato 3 - SI,262.0,13
2017-01-01,GUAINIA,Sin Estrato,NO,Sin Estrato - NO,227.8125,16
2017-01-01,GUAINIA,Sin Estrato,SI,Sin Estrato - SI,231.25,16
2017-01-01,GUAVIARE,Estrato 1,NO,Estrato 1 - NO,237.77777777777777,99
2017-01-01,GUAVIARE,Estrato 1,SI,Estrato 1 - SI,235.08716707021793,413
2017-01-01,GUAVIARE,Estrato 2,NO,Estrato 2 - NO,239.75757575757575,33
2017-01-01,GUAVIARE,Estrato 2,SI,Estrato 2 - SI,244.18848167539267,191
2017-01-01,GUAVIARE,Estrato 3,NO,Estrato 3 - NO,208.33333333333334,6
2017-01-01,GUAVIARE,Estrato 3,SI,Estrato 3 - SI,254.22641509433961,53
2017-01-01,GUAVIARE,Sin Estrato,NO,Sin Estrato - NO,220.11111111111111,36
2017-01-01,GUAVIARE,Sin Estrato,SI,Sin Estrato - SI,222.15714285714284,70
2017-01-01,HUILA,Estrato 1,NO,Estrato 1 - NO,237.84339622641508,1060
2017-01-01,HUILA,Estrato 1,SI,Estrato 1 - SI,249.2430210652509,5839
2017-01-01,HUILA,Estrato 2,NO,Estrato 2 - NO,236.55774647887324,355
2017-01-01,HUILA,Estrato 2,SI,Estrato 2 - SI,263.16450216450215,4851
2017-01-01,HUILA,Estrato 3,NO,Estrato 3 - NO,221.74358974358975,39
2017-01-01,HUILA,Estrato 3,SI,Estrato 3 - SI,271.1886409736308,986
2017-01-01,HUILA,Sin Estrato,NO,Sin Estrato - NO,220.75675675675674,74
2017-01-01,HUILA,Sin Estrato,SI,Sin Estrato - SI,237.62100456621005,219
2017-01-01,LA GUAJIRA,Estrato 1,NO,Estrato 1 - NO,226.36491228070176,285
2017-01-01,LA GUAJIRA,Estrato 1,SI,Estrato 1 - SI,238.4565400843882,2370
2017-01-01,LA GUAJIRA,Estrato 2,NO,Estrato 2 - NO,234.54471544715446,123
2017-01-01,LA GUAJIRA,Estrato 2,SI,Estrato 2 - SI,245.75845697329376,1685
2017-01-01,LA GUAJIRA,Estrato 3,NO,Estrato 3 - NO,230.0754716981132,53
2017-01-01,LA GUAJIRA,Estrato 3,SI,Estrato 3 - SI,238.3492252681764,839
2017-01-01,LA GUAJIRA,Sin Estrato,NO,Sin Estrato - NO,203.02202643171807,227
2017-01-01,LA GUAJIRA,Sin Estrato,SI,Sin Estrato - SI,209.65829145728642,796
2017-01-01,MAGDALENA,Estrato 1,NO,Estrato 1 - NO,221.03517587939697,597
2017-01-01,MAGDALENA,Estrato 1,SI,Estrato 1 - SI,230.98328823810283,6283
2017-01-01,MAGDALENA,Estrato 2,NO,Estrato 2 - NO,217.87573964497042,169
2017-01-01,MAGDALENA,Estrato 2,SI,Estrato 2 - SI,236.58737244897958,3136
2017-01-01,MAGDALENA,Estrato 3,NO,Estrato 3 - NO,212.0,96
2017-01-01,MAGDALENA,Estrato 3,SI,Estrato 3 - SI,243.6443812233286,2109
2017-01-01,MAGDALENA,Sin Estrato,NO,Sin Estrato - NO,206.61290322580646,155
2017-01-01,MAGDALENA,Sin Estrato,SI,Sin Estrato - SI,210.63980463980465,819
2017-01-01,META,Estrato 1,NO,Estrato 1 - NO,239.35637149028076,463
2017-01-01,META,Estrato 1,SI,Estrato 1 - SI,251.3693946188341,3568
2017-01-01,META,Estrato 2,NO,Estrato 2 - NO,241.64655172413794,232
2017-01-01,META,Estrato 2,SI,Estrato 2 - SI,258.73915372254953,3734
2017-01-01,META,Estrato 3,NO,Estrato 3 - NO,256.2985074626866,67
2017-01-01,META,Estrato 3,SI,Estrato 3 - SI,270.7752902155887,2412
2017-01-01,META,Sin Estrato,NO,Sin Estrato - NO,228.3030303030303,66
2017-01-01,META,Sin Estrato,SI,Sin Estrato - SI,235.87555555555556,225
2017-01-01,NARIÑO,Estrato 1,NO,Estrato 1 - NO,246.63783783783785,1110
2017-01-01,NARIÑO,Estrato 1,SI,Estrato 1 - SI,257.4163295329165,8157
2017-01-01,NARIÑO,Estrato 2,NO,Estrato 2 - NO,243.15343915343917,189
2017-01-01,NARIÑO,Estrato 2,SI,Estrato 2 - SI,269.78383579217444,3118
2017-01-01,NARIÑO,Estrato 3,NO,Estrato 3 - NO,217.49056603773585,53
2017-01-01,NARIÑO,Estrato 3,SI,Estrato 3 - SI,271.5970515970516,1221
2017-01-01,NARIÑO,Sin Estrato,NO,Sin Estrato - NO,210.99122807017545,114
2017-01-01,NARIÑO,Sin Estrato,SI,Sin Estrato - SI,225.8870056497175,531
2017-01-01,NORTE SANTANDER,Estrato 1,NO,Estrato 1 - NO,247.13966480446928,716
2017-01-01,NORTE SANTANDER,Estrato 1,SI,Estrato 1 - SI,257.330421377184,5838
2017-01-01,NORTE SANTANDER,Estrato 2,NO,Estrato 2 - NO,247.5216049382716,324
2017-01-01,NORTE SANTANDER,Estrato 2,SI,Estrato 2 - SI,264.80021216407357,5656
2017-01-01,NORTE SANTANDER,Estrato 3,NO,Estrato 3 - NO,233.43103448275863,58
2017-01-01,NORTE SANTANDER,Estrato 3,SI,Estrato 3 - SI,275.25533290239173,1547
2017-01-01,NORTE SANTANDER,Sin Estrato,NO,Sin Estrato - NO,214.33333333333334,45
2017-01-01,NORTE SANTANDER,Sin Estrato,SI,Sin Estrato - SI,229.3202614379085,153
2017-01-01,PUTUMAYO,Estrato 1,NO,Estrato 1 - NO,243.63829787234042,470
2017-01-01,PUTUMAYO,Estrato 1,SI,Estrato 1 - SI,254.0783469651313,2323
2017-01-01,PUTUMAYO,Estrato 2,NO,Estrato 2 - NO,235.83333333333334,54
2017-01-01,PUTUMAYO,Estrato 2,SI,Estrato 2 - SI,257.5506692160612,523
2017-01-01,PUTUMAYO,Estrato 3,NO,Estrato 3 - NO,221.0909090909091,22
2017-01-01,PUTUMAYO,Estrato 3,SI,Estrato 3 - SI,236.25850340136054,147
2017-01-01,PUTUMAYO,Sin Estrato,NO,Sin Estrato - NO,220.80645161290323,155
2017-01-01,PUTUMAYO,Sin Estrato,SI,Sin Estrato - SI,227.00374531835206,267
2017-01-01,QUINDIO,Estrato 1,NO,Estrato 1 - NO,234.51869158878506,214
2017-01-01,QUINDIO,Estrato 1,SI,Estrato 1 - SI,246.7799671592775,1827
2017-01-01,QUINDIO,Estrato 2,NO,Estrato 2 - NO,237.7741935483871,155
2017-01-01,QUINDIO,Estrato 2,SI,Estrato 2 - SI,256.3634804972139,2333
2017-01-01,QUINDIO,Estrato 3,NO,Estrato 3 - NO,244.20454545454547,44
2017-01-01,QUINDIO,Estrato 3,SI,Estrato 3 - SI,272.52222222222224,1440
2017-01-01,QUINDIO,Sin Estrato,NO,Sin Estrato - NO,211.28571428571428,21
2017-01-01,QUINDIO,Sin Estrato,SI,Sin Estrato - SI,232.55913978494624,93
2017-01-01,RISARALDA,Estrato 1,NO,Estrato 1 - NO,239.74303405572755,323
2017-01-01,RISARALDA,Estrato 1,SI,Estrato 1 - SI,249.02532207907598,2251
2017-01-01,RISARALDA,Estrato 2,NO,Estrato 2 - NO,239.17948717948718,234
2017-01-01,RISARALDA,Estrato 2,SI,Estrato 2 - SI,260.3992426291588,3697
2017-01-01,RISARALDA,Estrato 3,NO,Estrato 3 - NO,242.24324324324326,37
2017-01-01,RISARALDA,Estrato 3,SI,Estrato 3 - SI,270.6955128205128,2184
2017-01-01,RISARALDA,Sin Estrato,NO,Sin Estrato - NO,213.2173913043478,23
2017-01-01,RISARALDA,Sin Estrato,SI,Sin Estrato - SI,235.8348623853211,109
2017-01-01,SAN ANDRES,Estrato 1,NO,Estrato 1 - NO,215.0,11
2017-01-01,SAN ANDRES,Estrato 1,SI,Estrato 1 - SI,245.50746268656715,134
2017-01-01,SAN ANDRES,Estrato 2,NO,Estrato 2 - NO,236.2,10
2017-01-01,SAN ANDRES,Estrato 2,SI,Estrato 2 - SI,255.0204081632653,245
2017-01-01,SAN ANDRES,Estrato 3,NO,Estrato 3 - NO,197.57142857142858,7
2017-01-01,SAN ANDRES,Estrato 3,SI,Estrato 3 - SI,263.7,140
2017-01-01,SAN ANDRES,Sin Estrato,NO,Sin Estrato - NO,204.0,1
2017-01-01,SAN ANDRES,Sin Estrato,SI,Sin Estrato - SI,225.28571428571428,7
2017-01-01,SANTANDER,Estrato 1,NO,Estrato 1 - NO,240.48811292719168,1346
2017-01-01,SANTANDER,Estrato 1,SI,Estrato 1 - SI,258.87666246675064,7143
2017-01-01,SANTANDER,Estrato 2,NO,Estrato 2 - NO,247.93264248704662,579
2017-01-01,SANTANDER,Estrato 2,SI,Estrato 2 - SI,269.4570257461253,7807
2017-01-01,SANTANDER,Estrato 3,NO,Estrato 3 - NO,245.37121212121212,132
2017-01-01,SANTANDER,Estrato 3,SI,Estrato 3 - SI,282.1508238276299,4734
2017-01-01,SANTANDER,Sin Estrato,NO,Sin Estrato - NO,222.7605633802817,71
2017-01-01,SANTANDER,Sin Estrato,SI,Sin Estrato - SI,241.521875,320
2017-01-01,SUCRE,Estrato 1,NO,Estrato 1 - NO,235.41925465838509,644
2017-01-01,SUCRE,Estrato 1,SI,Estrato 1 - SI,247.53053132434576,5044
2017-01-01,SUCRE,Estrato 2,NO,Estrato 2 - NO,239.87719298245614,171
2017-01-01,SUCRE,Estrato 2,SI,Estrato 2 - SI,261.955629970699,2389
2017-01-01,SUCRE,Estrato 3,NO,Estrato 3 - NO,217.33962264150944,53
2017-01-01,SUCRE,Estrato 3,SI,Estrato 3 - SI,251.72821846553967,769
2017-01-01,SUCRE,Sin Estrato,NO,Sin Estrato - NO,201.58024691358025,81
2017-01-01,SUCRE,Sin Estrato,SI,Sin Estrato - SI,213.52678571428572,336
2017-01-01,TOLIMA,Estrato 1,NO,Estrato 1 - NO,229.3031496062992,762
2017-01-01,TOLIMA,Estrato 1,SI,Estrato 1 - SI,240.70596678285833,4877
2017-01-01,TOLIMA,Estrato 2,NO,Estrato 2 - NO,241.27314814814815,432
2017-01-01,TOLIMA,Estrato 2,SI,Estrato 2 - SI,255.41748327889252,6429
2017-01-01,TOLIMA,Estrato 3,NO,Estrato 3 - NO,228.84285714285716,70
2017-01-01,TOLIMA,Estrato 3,SI,Estrato 3 - SI,268.60259856630825,2232
2017-01-01,TOLIMA,Sin Estrato,NO,Sin Estrato - NO,228.13114754098362,61
2017-01-01,TOLIMA,Sin Estrato,SI,Sin Estrato - SI,220.06637168141592,226
2017-01-01,VALLE,Estrato 1,NO,Estrato 1 - NO,234.60798362333674,977
2017-01-01,VALLE,Estrato 1,SI,Estrato 1 - SI,245.52212562274104,10237
2017-01-01,VALLE,Estrato 2,NO,Estrato 2 - NO,243.70897832817337,646
2017-01-01,VALLE,Estrato 2,SI,Estrato 2 - SI,257.3847265221878,14535
2017-01-01,VALLE,Estrato 3,NO,Estrato 3 - NO,238.53333333333333,180
2017-01-01,VALLE,Estrato 3,SI,Estrato 3 - SI,260.6594730941704,7136
2017-01-01,VALLE,Sin Estrato,NO,Sin Estrato - NO,212.17142857142858,105
2017-01-01,VALLE,Sin Estrato,SI,Sin Estrato - SI,220.4162348877375,579
2017-01-01,VAUPES,Estrato 1,NO,Estrato 1 - NO,231.1315789473684,38
2017-01-01,VAUPES,Estrato 1,SI,Estrato 1 - SI,240.05154639175257,97
2017-01-01,VAUPES,Estrato 2,NO,Estrato 2 - NO,209.72727272727272,11
2017-01-01,VAUPES,Estrato 2,SI,Estrato 2 - SI,243.57142857142858,14
2017-01-01,VAUPES,Estrato 3,NO,Estrato 3 - NO,221.2,5
2017-01-01,VAUPES,Estrato 3,SI,Estrato 3 - SI,222.91666666666666,12
2017-01-01,VAUPES,Sin Estrato,NO,Sin Estrato - NO,209.2077922077922,77
2017-01-01,VAUPES,Sin Estrato,SI,Sin Estrato - SI,208.55555555555554,45
2017-01-01,VICHADA,Estrato 1,NO,Estrato 1 - NO,238.77272727272728,44
2017-01-01,VICHADA,Estrato 1,SI,Estrato 1 - SI,243.25531914893617,188
2017-01-01,VICHADA,Estrato 2,NO,Estrato 2 - NO,246.71428571428572,14
2017-01-01,VICHADA,Estrato 2,SI,Estrato 2 - SI,251.1829268292683,82
2017-01-01,VICHADA,Estrato 3,NO,Estrato 3 - NO,211.66666666666666,3
2017-01-01,VICHADA,Estrato 3,SI,Estrato 3 - SI,233.0,26
2017-01-01,VICHADA,Sin Estrato,NO,Sin Estrato - NO,221.11764705882354,17
