PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,ESTU_DEDICACIONINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2017-01-01,VICHADA,Sin Estrato,SI,Sin Estrato - SI,217.13888888888889,36
2018-01-01,-,Estrato 2,NO,Estrato 2 - NO,276.0,1
2018-01-01,-,Estrato 2,SI,Estrato 2 - SI,277.0,3
2018-01-01,AMAZONAS,Estrato 1,NO,Estrato 1 - NO,205.16883116883116,77
2018-01-01,AMAZONAS,Estrato 1,SI,Estrato 1 - SI,214.8122270742358,229
2018-01-01,AMAZONAS,Estrato 2,NO,Estrato 2 - NO,209.38235294117646,34
2018-01-01,AMAZONAS,Estrato 2,SI,Estrato 2 - SI,233.8988764044944,178
2018-01-01,AMAZONAS,Estrato 3,NO,Estrato 3 - NO,227.44444444444446,9
2018-01-01,AMAZONAS,Estrato 3,SI,Estrato 3 - SI,243.84,100
2018-01-01,AMAZONAS,Sin Estrato,NO,Sin Estrato - NO,204.18032786885246,61
2018-01-01,AMAZONAS,Sin Estrato,SI,Sin Estrato - SI,207.25471698113208,106
2018-01-01,ANTIOQUIA,Estrato 1,NO,Estrato 1 - NO,214.1277750370005,2027
2018-01-01,ANTIOQUIA,Estrato 1,SI,Estrato 1 - SI,231.3752287980476,14751
2018-01-01,ANTIOQUIA,Estrato 2,NO,Estrato 2 - NO,222.4383275261324,1435
2018-01-01,ANTIOQUIA,Estrato 2,SI,Estrato 2 - SI,247.2422397594889,26610
2018-01-01,ANTIOQUIA,Estrato 3,NO,Estrato 3 - NO,224.74772727272727,440
2018-01-01,ANTIOQUIA,Estrato 3,SI,Estrato 3 - SI,263.35323411894143,17269
2018-01-01,ANTIOQUIA,Sin Estrato,NO,Sin Estrato - NO,202.41552511415526,219
2018-01-01,ANTIOQUIA,Sin Estrato,SI,Sin Estrato - SI,215.91022443890273,802
2018-01-01,ARAUCA,Estrato 1,NO,Estrato 1 - NO,235.29666666666665,300
2018-01-01,ARAUCA,Estrato 1,SI,Estrato 1 - SI,250.36572890025576,1564
2018-01-01,ARAUCA,Estrato 2,NO,Estrato 2 - NO,235.15384615384616,52
2018-01-01,ARAUCA,Estrato 2,SI,Estrato 2 - SI,257.90748898678413,681
2018-01-01,ARAUCA,Estrato 3,NO,Estrato 3 - NO,220.28571428571428,14
2018-01-01,ARAUCA,Estrato 3,SI,Estrato 3 - SI,246.27935222672065,247
2018-01-01,ARAUCA,Sin Estrato,NO,Sin Estrato - NO,209.31666666666666,60
2018-01-01,ARAUCA,Sin Estrato,SI,Sin Estrato - SI,226.4508670520231,173
2018-01-01,ATLANTICO,Estrato 1,NO,Estrato 1 - NO,228.59509202453987,652
2018-01-01,ATLANTICO,Estrato 1,SI,Estrato 1 - SI,241.16055491738092,11317
2018-01-01,ATLANTICO,Estrato 2,NO,Estrato 2 - NO,229.15241635687732,269
2018-01-01,ATLANTICO,Estrato 2,SI,Estrato 2 - SI,252.75288658681342,9267
2018-01-01,ATLANTICO,Estrato 3,NO,Estrato 3 - NO,230.42608695652174,115
2018-01-01,ATLANTICO,Estrato 3,SI,Estrato 3 - SI,259.59476461038963,4928
2018-01-01,ATLANTICO,Sin Estrato,NO,Sin Estrato - NO,205.1076923076923,65
2018-01-01,ATLANTICO,Sin Estrato,SI,Sin Estrato - SI,214.4110929853181,613
2018-01-01,BOGOTA,Estrato 1,NO,Estrato 1 - NO,232.52652259332024,509
2018-01-01,BOGOTA,Estrato 1,SI,Estrato 1 - SI,248.9278022515908,8172
2018-01-01,BOGOTA,Estrato 2,NO,Estrato 2 - NO,246.3170731707317,943
2018-01-01,BOGOTA,Estrato 2,SI,Estrato 2 - SI,263.2138059701493,37520
2018-01-01,BOGOTA,Estrato 3,NO,Estrato 3 - NO,245.17801047120417,382
2018-01-01,BOGOTA,Estrato 3,SI,Estrato 3 - SI,279.5788341859177,30691
2018-01-01,BOGOTA,Sin Estrato,NO,Sin Estrato - NO,226.59574468085106,47
2018-01-01,BOGOTA,Sin Estrato,SI,Sin Estrato - SI,248.13483146067415,445
2018-01-01,BOLIVAR,Estrato 1,NO,Estrato 1 - NO,217.3760479041916,835
2018-01-01,BOLIVAR,Estrato 1,SI,Estrato 1 - SI,231.0203947368421,9120
2018-01-01,BOLIVAR,Estrato 2,NO,Estrato 2 - NO,221.8294573643411,258
2018-01-01,BOLIVAR,Estrato 2,SI,Estrato 2 - SI,245.0458490257082,6107
2018-01-01,BOLIVAR,Estrato 3,NO,Estrato 3 - NO,210.50877192982455,114
2018-01-01,BOLIVAR,Estrato 3,SI,Estrato 3 - SI,247.36102719033232,3310
2018-01-01,BOLIVAR,Sin Estrato,NO,Sin Estrato - NO,197.42857142857142,245
2018-01-01,BOLIVAR,Sin Estrato,SI,Sin Estrato - SI,205.7450357426529,1259
2018-01-01,BOYACA,Estrato 1,NO,Estrato 1 - NO,246.7339593114241,639
2018-01-01,BOYACA,Estrato 1,SI,Estrato 1 - SI,254.11820715281004,4306
2018-01-01,BOYACA,Estrato 2,NO,Estrato 2 - NO,256.7074829931973,441
2018-01-01,BOYACA,Estrato 2,SI,Estrato 2 - SI,270.51362088535757,7048
2018-01-01,BOYACA,Estrato 3,NO,Estrato 3 - NO,253.65,60
2018-01-01,BOYACA,Estrato 3,SI,Estrato 3 - SI,283.35132703553757,2223
2018-01-01,BOYACA,Sin Estrato,NO,Sin Estrato - NO,224.04,25
2018-01-01,BOYACA,Sin Estrato,SI,Sin Estrato - SI,236.53191489361703,141
2018-01-01,CALDAS,Estrato 1,NO,Estrato 1 - NO,225.63009404388714,319
2018-01-01,CALDAS,Estrato 1,SI,Estrato 1 - SI,239.2043512043512,2574
2018-01-01,CALDAS,Estrato 2,NO,Estrato 2 - NO,232.62173913043478,230
2018-01-01,CALDAS,Estrato 2,SI,Estrato 2 - SI,250.84513870185833,3713
2018-01-01,CALDAS,Estrato 3,NO,Estrato 3 - NO,224.0888888888889,45
2018-01-01,CALDAS,Estrato 3,SI,Estrato 3 - SI,268.94911599827515,2319
2018-01-01,CALDAS,Sin Estrato,NO,Sin Estrato - NO,204.46875,32
2018-01-01,CALDAS,Sin Estrato,SI,Sin Estrato - SI,221.94354838709677,124
2018-01-01,CAQUETA,Estrato 1,NO,Estrato 1 - NO,224.47133757961782,314
2018-01-01,CAQUETA,Estrato 1,SI,Estrato 1 - SI,243.4958877600387,2067
2018-01-01,CAQUETA,Estrato 2,NO,Estrato 2 - NO,223.7945205479452,73
2018-01-01,CAQUETA,Estrato 2,SI,Estrato 2 - SI,248.68211920529802,906
2018-01-01,CAQUETA,Estrato 3,NO,Estrato 3 - NO,202.52941176470588,17
2018-01-01,CAQUETA,Estrato 3,SI,Estrato 3 - SI,243.97435897435898,273
2018-01-01,CAQUETA,Sin Estrato,NO,Sin Estrato - NO,201.78571428571428,70
2018-01-01,CAQUETA,Sin Estrato,SI,Sin Estrato - SI,211.78021978021977,182
2018-01-01,CASANARE,Estrato 1,NO,Estrato 1 - NO,236.65151515151516,330
2018-01-01,CASANARE,Estrato 1,SI,Estrato 1 - SI,247.96301188903567,2271
2018-01-01,CASANARE,Estrato 2,NO,Estrato 2 - NO,243.1219512195122,123
2018-01-01,CASANARE,Estrato 2,SI,Estrato 2 - SI,257.6523244312562,2022
2018-01-01,CASANARE,Estrato 3,NO,Estrato 3 - NO,227.125,24
2018-01-01,CASANARE,Estrato 3,SI,Estrato 3 - SI,265.05859375,512
2018-01-01,CASANARE,Sin Estrato,NO,Sin Estrato - NO,208.0,31
2018-01-01,CASANARE,Sin Estrato,SI,Sin Estrato - SI,227.14678899082568,109
2018-01-01,CAUCA,Estrato 1,NO,Estrato 1 - NO,224.59059059059058,999
2018-01-01,CAUCA,Estrato 1,SI,Estrato 1 - SI,235.28967775288643,5803
2018-01-01,CAUCA,Estrato 2,NO,Estrato 2 - NO,228.93564356435644,202
2018-01-01,CAUCA,Estrato 2,SI,Estrato 2 - SI,247.80432676783985,3097
2018-01-01,CAUCA,Estrato 3,NO,Estrato 3 - NO,218.56716417910448,67
2018-01-01,CAUCA,Estrato 3,SI,Estrato 3 - SI,251.62083628632175,1411
2018-01-01,CAUCA,Sin Estrato,NO,Sin Estrato - NO,206.6813725490196,204
2018-01-01,CAUCA,Sin Estrato,SI,Sin Estrato - SI,211.69139072847682,755
2018-01-01,CESAR,Estrato 1,NO,Estrato 1 - NO,230.11335403726707,644
2018-01-01,CESAR,Estrato 1,SI,Estrato 1 - SI,239.46622185154294,5995
2018-01-01,CESAR,Estrato 2,NO,Estrato 2 - NO,233.37908496732027,153
2018-01-01,CESAR,Estrato 2,SI,Estrato 2 - SI,249.42253968253968,3150
2018-01-01,CESAR,Estrato 3,NO,Estrato 3 - NO,224.71428571428572,56
2018-01-01,CESAR,Estrato 3,SI,Estrato 3 - SI,256.26157595450854,1231
2018-01-01,CESAR,Sin Estrato,NO,Sin Estrato - NO,210.42105263157896,114
2018-01-01,CESAR,Sin Estrato,SI,Sin Estrato - SI,215.1576086956522,368
2018-01-01,CHOCO,Estrato 1,NO,Estrato 1 - NO,207.13333333333333,180
2018-01-01,CHOCO,Estrato 1,SI,Estrato 1 - SI,219.83669250645994,1935
2018-01-01,CHOCO,Estrato 2,NO,Estrato 2 - NO,207.25,76
2018-01-01,CHOCO,Estrato 2,SI,Estrato 2 - SI,217.38187702265373,618
2018-01-01,CHOCO,Estrato 3,NO,Estrato 3 - NO,183.56756756756758,37
2018-01-01,CHOCO,Estrato 3,SI,Estrato 3 - SI,205.42776203966005,353
2018-01-01,CHOCO,Sin Estrato,NO,Sin Estrato - NO,185.4144144144144,111
2018-01-01,CHOCO,Sin Estrato,SI,Sin Estrato - SI,191.2,385
2018-01-01,CORDOBA,Estrato 1,NO,Estrato 1 - NO,234.07993049522153,1151
2018-01-01,CORDOBA,Estrato 1,SI,Estrato 1 - SI,243.7574850299401,10020
2018-01-01,CORDOBA,Estrato 2,NO,Estrato 2 - NO,229.53703703703704,216
2018-01-01,CORDOBA,Estrato 2,SI,Estrato 2 - SI,251.76946487446108,3943
2018-01-01,CORDOBA,Estrato 3,NO,Estrato 3 - NO,216.82857142857142,70
2018-01-01,CORDOBA,Estrato 3,SI,Estrato 3 - SI,244.2514880952381,1344
2018-01-01,CORDOBA,Sin Estrato,NO,Sin Estrato - NO,204.07766990291262,206
2018-01-01,CORDOBA,Sin Estrato,SI,Sin Estrato - SI,214.51246537396122,722
2018-01-01,CUNDINAMARCA,Estrato 1,NO,Estrato 1 - NO,229.984375,832
2018-01-01,CUNDINAMARCA,Estrato 1,SI,Estrato 1 - SI,244.63167910993997,6831
2018-01-01,CUNDINAMARCA,Estrato 2,NO,Estrato 2 - NO,240.59343434343435,792
2018-01-01,CUNDINAMARCA,Estrato 2,SI,Estrato 2 - SI,260.30128670405804,15155
2018-01-01,CUNDINAMARCA,Estrato 3,NO,Estrato 3 - NO,241.6595744680851,188
2018-01-01,CUNDINAMARCA,Estrato 3,SI,Estrato 3 - SI,268.96673831881435,8839
2018-01-01,CUNDINAMARCA,Sin Estrato,NO,Sin Estrato - NO,217.57407407407408,54
2018-01-01,CUNDINAMARCA,Sin Estrato,SI,Sin Estrato - SI,245.19387755102042,392
2018-01-01,EXTRANJERO,Estrato 1,SI,Estrato 1 - SI,183.0,1
2018-01-01,GUAINIA,Estrato 1,NO,Estrato 1 - NO,226.88,25
2018-01-01,GUAINIA,Estrato 1,SI,Estrato 1 - SI,248.94230769230768,104
2018-01-01,GUAINIA,Estrato 2,NO,Estrato 2 - NO,214.66666666666666,9
2018-01-01,GUAINIA,Estrato 2,SI,Estrato 2 - SI,247.28301886792454,53
2018-01-01,GUAINIA,Estrato 3,SI,Estrato 3 - SI,249.0,10
2018-01-01,GUAINIA,Sin Estrato,NO,Sin Estrato - NO,202.25806451612902,31
2018-01-01,GUAINIA,Sin Estrato,SI,Sin Estrato - SI,208.2,30
2018-01-01,GUAVIARE,Estrato 1,NO,Estrato 1 - NO,228.71621621621622,74
2018-01-01,GUAVIARE,Estrato 1,SI,Estrato 1 - SI,233.38636363636363,396
2018-01-01,GUAVIARE,Estrato 2,NO,Estrato 2 - NO,225.1578947368421,19
2018-01-01,GUAVIARE,Estrato 2,SI,Estrato 2 - SI,240.06808510638297,235
2018-01-01,GUAVIARE,Estrato 3,NO,Estrato 3 - NO,191.6,5
2018-01-01,GUAVIARE,Estrato 3,SI,Estrato 3 - SI,240.85897435897436,78
2018-01-01,GUAVIARE,Sin Estrato,NO,Sin Estrato - NO,214.2962962962963,27
2018-01-01,GUAVIARE,Sin Estrato,SI,Sin Estrato - SI,211.05172413793105,58
2018-01-01,HUILA,Estrato 1,NO,Estrato 1 - NO,239.3560975609756,820
2018-01-01,HUILA,Estrato 1,SI,Estrato 1 - SI,248.36317977138899,5774
2018-01-01,HUILA,Estrato 2,NO,Estrato 2 - NO,242.0,312
2018-01-01,HUILA,Estrato 2,SI,Estrato 2 - SI,261.0800847457627,4720
2018-01-01,HUILA,Estrato 3,NO,Estrato 3 - NO,223.74193548387098,31
2018-01-01,HUILA,Estrato 3,SI,Estrato 3 - SI,273.80379746835445,948
2018-01-01,HUILA,Sin Estrato,NO,Sin Estrato - NO,215.0888888888889,45
2018-01-01,HUILA,Sin Estrato,SI,Sin Estrato - SI,232.4572864321608,199
2018-01-01,LA GUAJIRA,Estrato 1,NO,Estrato 1 - NO,215.9968152866242,314
2018-01-01,LA GUAJIRA,Estrato 1,SI,Estrato 1 - SI,230.6475343573161,2474
2018-01-01,LA GUAJIRA,Estrato 2,NO,Estrato 2 - NO,221.71028037383178,107
2018-01-01,LA GUAJIRA,Estrato 2,SI,Estrato 2 - SI,240.49102103642895,1949
2018-01-01,LA GUAJIRA,Estrato 3,NO,Estrato 3 - NO,199.03773584905662,53
2018-01-01,LA GUAJIRA,Estrato 3,SI,Estrato 3 - SI,233.83426651735724,893
2018-01-01,LA GUAJIRA,Sin Estrato,NO,Sin Estrato - NO,197.66666666666666,351
2018-01-01,LA GUAJIRA,Sin Estrato,SI,Sin Estrato - SI,204.3198757763975,966
2018-01-01,MAGDALENA,Estrato 1,NO,Estrato 1 - NO,216.6013179571664,607
2018-01-01,MAGDALENA,Estrato 1,SI,Estrato 1 - SI,226.10565801813067,6398
2018-01-01,MAGDALENA,Estrato 2,NO,Estrato 2 - NO,218.89839572192514,187
2018-01-01,MAGDALENA,Estrato 2,SI,Estrato 2 - SI,230.4035683942226,3531
2018-01-01,MAGDALENA,Estrato 3,NO,Estrato 3 - NO,219.8910891089109,101
2018-01-01,MAGDALENA,Estrato 3,SI,Estrato 3 - SI,239.33574776310184,2347
2018-01-01,MAGDALENA,Sin Estrato,NO,Sin Estrato - NO,198.0233918128655,171
2018-01-01,MAGDALENA,Sin Estrato,SI,Sin Estrato - SI,204.03477344573236,949
2018-01-01,META,Estrato 1,NO,Estrato 1 - NO,239.28571428571428,350
2018-01-01,META,Estrato 1,SI,Estrato 1 - SI,246.00287191269385,3482
2018-01-01,META,Estrato 2,NO,Estrato 2 - NO,244.06315789473683,190
2018-01-01,META,Estrato 2,SI,Estrato 2 - SI,253.76109300576584,3989
2018-01-01,META,Estrato 3,NO,Estrato 3 - NO,238.953125,64
2018-01-01,META,Estrato 3,SI,Estrato 3 - SI,267.02626005929693,2361
2018-01-01,META,Sin Estrato,NO,Sin Estrato - NO,219.52307692307693,65
2018-01-01,META,Sin Estrato,SI,Sin Estrato - SI,229.8106796116505,206
2018-01-01,NARIÑO,Estrato 1,NO,Estrato 1 - NO,237.515503875969,1032
2018-01-01,NARIÑO,Estrato 1,SI,Estrato 1 - SI,251.29215846675237,8557
2018-01-01,NARIÑO,Estrato 2,NO,Estrato 2 - NO,239.96808510638297,188
2018-01-01,NARIÑO,Estrato 2,SI,Estrato 2 - SI,265.372258615779,3511
2018-01-01,NARIÑO,Estrato 3,NO,Estrato 3 - NO,205.63636363636363,55
2018-01-01,NARIÑO,Estrato 3,SI,Estrato 3 - SI,271.95516304347825,1472
2018-01-01,NARIÑO,Sin Estrato,NO,Sin Estrato - NO,204.7310924369748,119
2018-01-01,NARIÑO,Sin Estrato,SI,Sin Estrato - SI,220.48479427549194,559
2018-01-01,NORTE SANTANDER,Estrato 1,NO,Estrato 1 - NO,243.01895734597156,633
2018-01-01,NORTE SANTANDER,Estrato 1,SI,Estrato 1 - SI,257.1153085087246,5559
2018-01-01,NORTE SANTANDER,Estrato 2,NO,Estrato 2 - NO,250.34713375796179,314
2018-01-01,NORTE SANTANDER,Estrato 2,SI,Estrato 2 - SI,264.985632183908,5568
2018-01-01,NORTE SANTANDER,Estrato 3,NO,Estrato 3 - NO,236.69230769230768,39
2018-01-01,NORTE SANTANDER,Estrato 3,SI,Estrato 3 - SI,273.61484771573606,1576
2018-01-01,NORTE SANTANDER,Sin Estrato,NO,Sin Estrato - NO,215.76,50
2018-01-01,NORTE SANTANDER,Sin Estrato,SI,Sin Estrato - SI,223.44303797468353,158
2018-01-01,PUTUMAYO,Estrato 1,NO,Estrato 1 - NO,236.6937799043062,418
2018-01-01,PUTUMAYO,Estrato 1,SI,Estrato 1 - SI,247.25394736842105,2280
2018-01-01,PUTUMAYO,Estrato 2,NO,Estrato 2 - NO,220.59375,64
2018-01-01,PUTUMAYO,Estrato 2,SI,Estrato 2 - SI,246.36456558773423,587
2018-01-01,PUTUMAYO,Estrato 3,NO,Estrato 3 - NO,203.42105263157896,19
2018-01-01,PUTUMAYO,Estrato 3,SI,Estrato 3 - SI,238.9306358381503,173
2018-01-01,PUTUMAYO,Sin Estrato,NO,Sin Estrato - NO,219.94594594594594,148
2018-01-01,PUTUMAYO,Sin Estrato,SI,Sin Estrato - SI,225.4856230031949,313
2018-01-01,QUINDIO,Estrato 1,NO,Estrato 1 - NO,231.1909090909091,220
2018-01-01,QUINDIO,Estrato 1,SI,Estrato 1 - SI,243.83398328690808,1795
2018-01-01,QUINDIO,Estrato 2,NO,Estrato 2 - NO,234.64957264957266,117
2018-01-01,QUINDIO,Estrato 2,SI,Estrato 2 - SI,255.6554694229113,2322
2018-01-01,QUINDIO,Estrato 3,NO,Estrato 3 - NO,243.63636363636363,33
2018-01-01,QUINDIO,Estrato 3,SI,Estrato 3 - SI,271.12046204620464,1212
2018-01-01,QUINDIO,Sin Estrato,NO,Sin Estrato - NO,231.75,12
2018-01-01,QUINDIO,Sin Estrato,SI,Sin Estrato - SI,241.41772151898735,79
2018-01-01,RISARALDA,Estrato 1,NO,Estrato 1 - NO,229.18726591760299,267
2018-01-01,RISARALDA,Estrato 1,SI,Estrato 1 - SI,245.28039383561645,2336
2018-01-01,RISARALDA,Estrato 2,NO,Estrato 2 - NO,225.74752475247524,202
2018-01-01,RISARALDA,Estrato 2,SI,Estrato 2 - SI,254.94632313472894,3726
2018-01-01,RISARALDA,Estrato 3,NO,Estrato 3 - NO,229.66666666666666,54
2018-01-01,RISARALDA,Estrato 3,SI,Estrato 3 - SI,265.09673313534154,2357
2018-01-01,RISARALDA,Sin Estrato,NO,Sin Estrato - NO,202.6,25
2018-01-01,RISARALDA,Sin Estrato,SI,Sin Estrato - SI,236.808,125
2018-01-01,SAN ANDRES,Estrato 1,NO,Estrato 1 - NO,196.0,5
2018-01-01,SAN ANDRES,Estrato 1,SI,Estrato 1 - SI,231.27272727272728,121
2018-01-01,SAN ANDRES,Estrato 2,NO,Estrato 2 - NO,209.77272727272728,22
2018-01-01,SAN ANDRES,Estrato 2,SI,Estrato 2 - SI,244.56060606060606,264
2018-01-01,SAN ANDRES,Estrato 3,NO,Estrato 3 - NO,205.5,4
2018-01-01,SAN ANDRES,Estrato 3,SI,Estrato 3 - SI,249.06716417910448,134
2018-01-01,SAN ANDRES,Sin Estrato,SI,Sin Estrato - SI,219.92307692307693,13
2018-01-01,SANTANDER,Estrato 1,NO,Estrato 1 - NO,245.0086956521739,920
2018-01-01,SANTANDER,Estrato 1,SI,Estrato 1 - SI,254.94682651622003,7090
2018-01-01,SANTANDER,Estrato 2,NO,Estrato 2 - NO,248.21428571428572,406
2018-01-01,SANTANDER,Estrato 2,SI,Estrato 2 - SI,266.38654303971936,7981
2018-01-01,SANTANDER,Estrato 3,NO,Estrato 3 - NO,239.04716981132074,106
2018-01-01,SANTANDER,Estrato 3,SI,Estrato 3 - SI,278.40365278062797,4873
2018-01-01,SANTANDER,Sin Estrato,NO,Sin Estrato - NO,211.5,56
2018-01-01,SANTANDER,Sin Estrato,SI,Sin Estrato - SI,239.50526315789475,285
2018-01-01,SUCRE,Estrato 1,NO,Estrato 1 - NO,228.6643109540636,566
2018-01-01,SUCRE,Estrato 1,SI,Estrato 1 - SI,242.00742727460286,4847
2018-01-01,SUCRE,Estrato 2,NO,Estrato 2 - NO,231.9578313253012,166
2018-01-01,SUCRE,Estrato 2,SI,Estrato 2 - SI,253.13053613053614,2574
2018-01-01,SUCRE,Estrato 3,NO,Estrato 3 - NO,220.825,40
2018-01-01,SUCRE,Estrato 3,SI,Estrato 3 - SI,243.534693877551,735
2018-01-01,SUCRE,Sin Estrato,NO,Sin Estrato - NO,203.32183908045977,87
2018-01-01,SUCRE,Sin Estrato,SI,Sin Estrato - SI,208.64506172839506,324
2018-01-01,TOLIMA,Estrato 1,NO,Estrato 1 - NO,226.29253731343283,670
2018-01-01,TOLIMA,Estrato 1,SI,Estrato 1 - SI,236.21094736842105,4750
2018-01-01,TOLIMA,Estrato 2,NO,Estrato 2 - NO,231.59305210918114,403
2018-01-01,TOLIMA,Estrato 2,SI,Estrato 2 - SI,249.66799387442572,6530
2018-01-01,TOLIMA,Estrato 3,NO,Estrato 3 - NO,218.45833333333334,72
2018-01-01,TOLIMA,Estrato 3,SI,Estrato 3 - SI,265.93988591487494,2279
2018-01-01,TOLIMA,Sin Estrato,NO,Sin Estrato - NO,205.4264705882353,68
2018-01-01,TOLIMA,Sin Estrato,SI,Sin Estrato - SI,216.40975609756097,205
2018-01-01,VALLE,Estrato 1,NO,Estrato 1 - NO,229.2398190045249,884
2018-01-01,VALLE,Estrato 1,SI,Estrato 1 - SI,241.59467427484546,10515
2018-01-01,VALLE,Estrato 2,NO,Estrato 2 - NO,235.18861788617886,615
2018-01-01,VALLE,Estrato 2,SI,Estrato 2 - SI,254.51348152045244,15206
2018-01-01,VALLE,Estrato 3,NO,Estrato 3 - NO,230.04591836734693,196
2018-01-01,VALLE,Estrato 3,SI,Estrato 3 - SI,264.78057478498005,9534
2018-01-01,VALLE,Sin Estrato,NO,Sin Estrato - NO,200.94059405940595,101
2018-01-01,VALLE,Sin Estrato,SI,Sin Estrato - SI,222.58169934640523,612
2018-01-01,VAUPES,Estrato 1,NO,Estrato 1 - NO,223.9795918367347,49
2018-01-01,VAUPES,Estrato 1,SI,Estrato 1 - SI,227.44791666666666,96
2018-01-01,VAUPES,Estrato 2,NO,Estrato 2 - NO,200.0,13
2018-01-01,VAUPES,Estrato 2,SI,Estrato 2 - SI,226.4,30
2018-01-01,VAUPES,Estrato 3,NO,Estrato 3 - NO,174.0,1
2018-01-01,VAUPES,Estrato 3,SI,Estrato 3 - SI,183.6,15
2018-01-01,VAUPES,Sin Estrato,NO,Sin Estrato - NO,201.56944444444446,72
2018-01-01,VAUPES,Sin Estrato,SI,Sin Estrato - SI,198.4418604651163,43
2018-01-01,VICHADA,Estrato 1,NO,Estrato 1 - NO,233.42,50
2018-01-01,VICHADA,Estrato 1,SI,Estrato 1 - SI,238.11049723756906,181
2018-01-01,VICHADA,Estrato 2,NO,Estrato 2 - NO,228.33333333333334,12
2018-01-01,VICHADA,Estrato 2,SI,Estrato 2 - SI,240.85576923076923,104
2018-01-01,VICHADA,Estrato 3,NO,Estrato 3 - NO,205.0,3
2018-01-01,VICHADA,Estrato 3,SI,Estrato 3 - SI,228.71428571428572,21
2018-01-01,VICHADA,Sin Estrato,NO,Sin Estrato - NO,204.5483870967742,31
2018-01-01,VICHADA,Sin Estrato,SI,Sin Estrato - SI,204.53846153846155,65
2019-01-01,AMAZONAS,Estrato 1,NO,Estrato 1 - NO,197.6346153846154,52
2019-01-01,AMAZONAS,Estrato 1,SI,Estrato 1 - SI,214.79716981132074,212
2019-01-01,AMAZONAS,Estrato 2,NO,Estrato 2 - NO,199.45454545454547,11
