PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,ESTU_DEDICACIONINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2019-01-01,AMAZONAS,Estrato 2,SI,Estrato 2 - SI,223.18562874251498,167
2019-01-01,AMAZONAS,Estrato 3,NO,Estrato 3 - NO,224.1818181818182,11
2019-01-01,AMAZONAS,Estrato 3,SI,Estrato 3 - SI,244.53608247422682,97
2019-01-01,AMAZONAS,Sin Estrato,NO,Sin Estrato - NO,190.95348837209303,43
2019-01-01,AMAZONAS,Sin Estrato,SI,Sin Estrato - SI,202.11111111111111,72
2019-01-01,ANTIOQUIA,Estrato 1,NO,Estrato 1 - NO,207.0,1755
2019-01-01,ANTIOQUIA,Estrato 1,SI,Estrato 1 - SI,225.54771528396245,14597
2019-01-01,ANTIOQUIA,Estrato 2,NO,Estrato 2 - NO,214.13187702265373,1236
2019-01-01,ANTIOQUIA,Estrato 2,SI,Estrato 2 - SI,241.61782178217823,26765
2019-01-01,ANTIOQUIA,Estrato 3,NO,Estrato 3 - NO,217.17040358744396,446
2019-01-01,ANTIOQUIA,Estrato 3,SI,Estrato 3 - SI,258.4996992727869,18289
2019-01-01,ANTIOQUIA,Sin Estrato,NO,Sin Estrato - NO,188.66375545851528,229
2019-01-01,ANTIOQUIA,Sin Estrato,SI,Sin Estrato - SI,209.64464464464464,999
2019-01-01,ARAUCA,Estrato 1,NO,Estrato 1 - NO,234.67241379310346,232
2019-01-01,ARAUCA,Estrato 1,SI,Estrato 1 - SI,243.91746905089408,1454
2019-01-01,ARAUCA,Estrato 2,NO,Estrato 2 - NO,229.86363636363637,66
2019-01-01,ARAUCA,Estrato 2,SI,Estrato 2 - SI,249.64729194187584,757
2019-01-01,ARAUCA,Estrato 3,NO,Estrato 3 - NO,219.0,15
2019-01-01,ARAUCA,Estrato 3,SI,Estrato 3 - SI,244.53237410071944,278
2019-01-01,ARAUCA,Sin Estrato,NO,Sin Estrato - NO,225.95744680851064,47
2019-01-01,ARAUCA,Sin Estrato,SI,Sin Estrato - SI,222.71354166666666,192
2019-01-01,ATLANTICO,Estrato 1,NO,Estrato 1 - NO,222.4064914992272,647
2019-01-01,ATLANTICO,Estrato 1,SI,Estrato 1 - SI,237.6790446146913,11095
2019-01-01,ATLANTICO,Estrato 2,NO,Estrato 2 - NO,226.26490066225165,302
2019-01-01,ATLANTICO,Estrato 2,SI,Estrato 2 - SI,247.7489247311828,9300
2019-01-01,ATLANTICO,Estrato 3,NO,Estrato 3 - NO,210.13274336283186,113
2019-01-01,ATLANTICO,Estrato 3,SI,Estrato 3 - SI,254.71513573819263,5378
2019-01-01,ATLANTICO,Sin Estrato,NO,Sin Estrato - NO,197.61764705882354,102
2019-01-01,ATLANTICO,Sin Estrato,SI,Sin Estrato - SI,205.06826801517067,791
2019-01-01,BOGOTA,Estrato 1,NO,Estrato 1 - NO,224.62350119904076,417
2019-01-01,BOGOTA,Estrato 1,SI,Estrato 1 - SI,244.00601997537282,7309
2019-01-01,BOGOTA,Estrato 2,NO,Estrato 2 - NO,237.86405529953916,868
2019-01-01,BOGOTA,Estrato 2,SI,Estrato 2 - SI,258.80279192173464,34958
2019-01-01,BOGOTA,Estrato 3,NO,Estrato 3 - NO,241.78306878306879,378
2019-01-01,BOGOTA,Estrato 3,SI,Estrato 3 - SI,275.74331514324695,29320
2019-01-01,BOGOTA,Sin Estrato,NO,Sin Estrato - NO,215.0,57
2019-01-01,BOGOTA,Sin Estrato,SI,Sin Estrato - SI,232.5119825708061,459
2019-01-01,BOLIVAR,Estrato 1,NO,Estrato 1 - NO,213.5670241286863,746
2019-01-01,BOLIVAR,Estrato 1,SI,Estrato 1 - SI,226.7762868710237,8645
2019-01-01,BOLIVAR,Estrato 2,NO,Estrato 2 - NO,218.16,275
2019-01-01,BOLIVAR,Estrato 2,SI,Estrato 2 - SI,237.29556890115242,6161
2019-01-01,BOLIVAR,Estrato 3,NO,Estrato 3 - NO,207.37719298245614,114
2019-01-01,BOLIVAR,Estrato 3,SI,Estrato 3 - SI,241.93178433124814,3357
2019-01-01,BOLIVAR,Sin Estrato,NO,Sin Estrato - NO,194.00416666666666,240
2019-01-01,BOLIVAR,Sin Estrato,SI,Sin Estrato - SI,199.60951714485654,1429
2019-01-01,BOYACA,Estrato 1,NO,Estrato 1 - NO,238.3858407079646,565
2019-01-01,BOYACA,Estrato 1,SI,Estrato 1 - SI,249.32597917699553,4034
2019-01-01,BOYACA,Estrato 2,NO,Estrato 2 - NO,249.86552567237163,409
2019-01-01,BOYACA,Estrato 2,SI,Estrato 2 - SI,264.8108442004118,7285
2019-01-01,BOYACA,Estrato 3,NO,Estrato 3 - NO,250.23728813559322,59
2019-01-01,BOYACA,Estrato 3,SI,Estrato 3 - SI,277.0307633877706,2633
2019-01-01,BOYACA,Sin Estrato,NO,Sin Estrato - NO,210.73529411764707,34
2019-01-01,BOYACA,Sin Estrato,SI,Sin Estrato - SI,229.125786163522,159
2019-01-01,CALDAS,Estrato 1,NO,Estrato 1 - NO,226.65273311897107,311
2019-01-01,CALDAS,Estrato 1,SI,Estrato 1 - SI,234.68780487804878,2460
2019-01-01,CALDAS,Estrato 2,NO,Estrato 2 - NO,221.8468899521531,209
2019-01-01,CALDAS,Estrato 2,SI,Estrato 2 - SI,244.95871559633028,3706
2019-01-01,CALDAS,Estrato 3,NO,Estrato 3 - NO,214.31578947368422,57
2019-01-01,CALDAS,Estrato 3,SI,Estrato 3 - SI,264.63754724905505,2381
2019-01-01,CALDAS,Sin Estrato,NO,Sin Estrato - NO,221.52,25
2019-01-01,CALDAS,Sin Estrato,SI,Sin Estrato - SI,220.90322580645162,155
2019-01-01,CAQUETA,Estrato 1,NO,Estrato 1 - NO,223.0096153846154,312
2019-01-01,CAQUETA,Estrato 1,SI,Estrato 1 - SI,235.7432578209277,1854
2019-01-01,CAQUETA,Estrato 2,NO,Estrato 2 - NO,218.97222222222223,72
2019-01-01,CAQUETA,Estrato 2,SI,Estrato 2 - SI,241.28050847457627,1180
2019-01-01,CAQUETA,Estrato 3,NO,Estrato 3 - NO,211.52173913043478,23
2019-01-01,CAQUETA,Estrato 3,SI,Estrato 3 - SI,247.8719646799117,453
2019-01-01,CAQUETA,Sin Estrato,NO,Sin Estrato - NO,201.85882352941175,85
2019-01-01,CAQUETA,Sin Estrato,SI,Sin Estrato - SI,206.34615384615384,234
2019-01-01,CASANARE,Estrato 1,NO,Estrato 1 - NO,228.78571428571428,266
2019-01-01,CASANARE,Estrato 1,SI,Estrato 1 - SI,245.7979704797048,2168
2019-01-01,CASANARE,Estrato 2,NO,Estrato 2 - NO,233.5391304347826,115
2019-01-01,CASANARE,Estrato 2,SI,Estrato 2 - SI,252.10697230181472,2094
2019-01-01,CASANARE,Estrato 3,NO,Estrato 3 - NO,216.0909090909091,22
2019-01-01,CASANARE,Estrato 3,SI,Estrato 3 - SI,261.9222042139384,617
2019-01-01,CASANARE,Sin Estrato,NO,Sin Estrato - NO,192.55555555555554,36
2019-01-01,CASANARE,Sin Estrato,SI,Sin Estrato - SI,213.87591240875912,137
2019-01-01,CAUCA,Estrato 1,NO,Estrato 1 - NO,222.69626168224298,856
2019-01-01,CAUCA,Estrato 1,SI,Estrato 1 - SI,230.72305994851047,5438
2019-01-01,CAUCA,Estrato 2,NO,Estrato 2 - NO,220.64888888888888,225
2019-01-01,CAUCA,Estrato 2,SI,Estrato 2 - SI,241.4425182481752,3288
2019-01-01,CAUCA,Estrato 3,NO,Estrato 3 - NO,206.82666666666665,75
2019-01-01,CAUCA,Estrato 3,SI,Estrato 3 - SI,247.58390517779165,1603
2019-01-01,CAUCA,Sin Estrato,NO,Sin Estrato - NO,198.89719626168224,214
2019-01-01,CAUCA,Sin Estrato,SI,Sin Estrato - SI,204.26642335766422,822
2019-01-01,CESAR,Estrato 1,NO,Estrato 1 - NO,224.73544973544975,567
2019-01-01,CESAR,Estrato 1,SI,Estrato 1 - SI,235.39362813370474,5744
2019-01-01,CESAR,Estrato 2,NO,Estrato 2 - NO,232.51461988304092,171
2019-01-01,CESAR,Estrato 2,SI,Estrato 2 - SI,247.56695598264105,3226
2019-01-01,CESAR,Estrato 3,NO,Estrato 3 - NO,221.84,50
2019-01-01,CESAR,Estrato 3,SI,Estrato 3 - SI,254.85426460711886,1489
2019-01-01,CESAR,Sin Estrato,NO,Sin Estrato - NO,206.01818181818183,110
2019-01-01,CESAR,Sin Estrato,SI,Sin Estrato - SI,209.5054229934924,461
2019-01-01,CHOCO,Estrato 1,NO,Estrato 1 - NO,195.70416666666668,240
2019-01-01,CHOCO,Estrato 1,SI,Estrato 1 - SI,212.68910782703887,1827
2019-01-01,CHOCO,Estrato 2,NO,Estrato 2 - NO,183.9102564102564,78
2019-01-01,CHOCO,Estrato 2,SI,Estrato 2 - SI,213.97492625368733,678
2019-01-01,CHOCO,Estrato 3,NO,Estrato 3 - NO,178.7608695652174,46
2019-01-01,CHOCO,Estrato 3,SI,Estrato 3 - SI,201.77962085308056,422
2019-01-01,CHOCO,Sin Estrato,NO,Sin Estrato - NO,173.9925925925926,135
2019-01-01,CHOCO,Sin Estrato,SI,Sin Estrato - SI,184.6031434184676,509
2019-01-01,CORDOBA,Estrato 1,NO,Estrato 1 - NO,224.56380316930776,1199
2019-01-01,CORDOBA,Estrato 1,SI,Estrato 1 - SI,239.3042232597623,9424
2019-01-01,CORDOBA,Estrato 2,NO,Estrato 2 - NO,220.53968253968253,252
2019-01-01,CORDOBA,Estrato 2,SI,Estrato 2 - SI,244.90544832641095,4093
2019-01-01,CORDOBA,Estrato 3,NO,Estrato 3 - NO,203.61855670103094,97
2019-01-01,CORDOBA,Estrato 3,SI,Estrato 3 - SI,243.47927135678393,1592
2019-01-01,CORDOBA,Sin Estrato,NO,Sin Estrato - NO,202.11475409836066,244
2019-01-01,CORDOBA,Sin Estrato,SI,Sin Estrato - SI,209.5657327586207,928
2019-01-01,CUNDINAMARCA,Estrato 1,NO,Estrato 1 - NO,226.21598877980364,713
2019-01-01,CUNDINAMARCA,Estrato 1,SI,Estrato 1 - SI,240.78321133779784,6421
2019-01-01,CUNDINAMARCA,Estrato 2,NO,Estrato 2 - NO,234.52507374631267,678
2019-01-01,CUNDINAMARCA,Estrato 2,SI,Estrato 2 - SI,254.8705756644851,14974
2019-01-01,CUNDINAMARCA,Estrato 3,NO,Estrato 3 - NO,232.1951219512195,205
2019-01-01,CUNDINAMARCA,Estrato 3,SI,Estrato 3 - SI,263.90986003760185,9574
2019-01-01,CUNDINAMARCA,Sin Estrato,NO,Sin Estrato - NO,215.86567164179104,67
2019-01-01,CUNDINAMARCA,Sin Estrato,SI,Sin Estrato - SI,233.25124378109453,402
2019-01-01,EXTRANJERO,Estrato 1,NO,Estrato 1 - NO,234.33333333333334,3
2019-01-01,EXTRANJERO,Estrato 1,SI,Estrato 1 - SI,240.5909090909091,22
2019-01-01,EXTRANJERO,Estrato 2,NO,Estrato 2 - NO,237.0,2
2019-01-01,EXTRANJERO,Estrato 2,SI,Estrato 2 - SI,249.56,25
2019-01-01,EXTRANJERO,Estrato 3,NO,Estrato 3 - NO,213.0,1
2019-01-01,EXTRANJERO,Estrato 3,SI,Estrato 3 - SI,232.27777777777777,18
2019-01-01,EXTRANJERO,Sin Estrato,SI,Sin Estrato - SI,227.86206896551724,29
2019-01-01,GUAINIA,Estrato 1,NO,Estrato 1 - NO,230.88888888888889,18
2019-01-01,GUAINIA,Estrato 1,SI,Estrato 1 - SI,228.79012345679013,81
2019-01-01,GUAINIA,Estrato 2,NO,Estrato 2 - NO,212.88888888888889,9
2019-01-01,GUAINIA,Estrato 2,SI,Estrato 2 - SI,255.64444444444445,45
2019-01-01,GUAINIA,Estrato 3,NO,Estrato 3 - NO,203.8,5
2019-01-01,GUAINIA,Estrato 3,SI,Estrato 3 - SI,247.06666666666666,15
2019-01-01,GUAINIA,Sin Estrato,NO,Sin Estrato - NO,191.1860465116279,43
2019-01-01,GUAINIA,Sin Estrato,SI,Sin Estrato - SI,202.63333333333333,30
2019-01-01,GUAVIARE,Estrato 1,NO,Estrato 1 - NO,210.46575342465752,73
2019-01-01,GUAVIARE,Estrato 1,SI,Estrato 1 - SI,229.2377049180328,366
2019-01-01,GUAVIARE,Estrato 2,NO,Estrato 2 - NO,210.6315789473684,19
2019-01-01,GUAVIARE,Estrato 2,SI,Estrato 2 - SI,237.7520325203252,246
2019-01-01,GUAVIARE,Estrato 3,NO,Estrato 3 - NO,191.6,10
2019-01-01,GUAVIARE,Estrato 3,SI,Estrato 3 - SI,227.7710843373494,83
2019-01-01,GUAVIARE,Sin Estrato,NO,Sin Estrato - NO,205.75,32
2019-01-01,GUAVIARE,Sin Estrato,SI,Sin Estrato - SI,201.26153846153846,65
2019-01-01,HUILA,Estrato 1,NO,Estrato 1 - NO,241.88362068965517,696
2019-01-01,HUILA,Estrato 1,SI,Estrato 1 - SI,246.04608711368155,5533
2019-01-01,HUILA,Estrato 2,NO,Estrato 2 - NO,236.63492063492063,252
2019-01-01,HUILA,Estrato 2,SI,Estrato 2 - SI,256.7317724378723,4869
2019-01-01,HUILA,Estrato 3,NO,Estrato 3 - NO,223.07142857142858,28
2019-01-01,HUILA,Estrato 3,SI,Estrato 3 - SI,264.64612511671334,1071
2019-01-01,HUILA,Sin Estrato,NO,Sin Estrato - NO,222.725,40
2019-01-01,HUILA,Sin Estrato,SI,Sin Estrato - SI,227.24537037037038,216
2019-01-01,LA GUAJIRA,Estrato 1,NO,Estrato 1 - NO,215.19594594594594,296
2019-01-01,LA GUAJIRA,Estrato 1,SI,Estrato 1 - SI,224.88819875776397,2254
2019-01-01,LA GUAJIRA,Estrato 2,NO,Estrato 2 - NO,216.30344827586208,145
2019-01-01,LA GUAJIRA,Estrato 2,SI,Estrato 2 - SI,236.7043961596766,1979
2019-01-01,LA GUAJIRA,Estrato 3,NO,Estrato 3 - NO,200.58823529411765,51
2019-01-01,LA GUAJIRA,Estrato 3,SI,Estrato 3 - SI,231.50155763239874,963
2019-01-01,LA GUAJIRA,Sin Estrato,NO,Sin Estrato - NO,190.42964824120602,398
2019-01-01,LA GUAJIRA,Sin Estrato,SI,Sin Estrato - SI,198.97002497918402,1201
2019-01-01,MAGDALENA,Estrato 1,NO,Estrato 1 - NO,208.86363636363637,550
2019-01-01,MAGDALENA,Estrato 1,SI,Estrato 1 - SI,221.3168893456663,5838
2019-01-01,MAGDALENA,Estrato 2,NO,Estrato 2 - NO,211.40828402366864,169
2019-01-01,MAGDALENA,Estrato 2,SI,Estrato 2 - SI,229.31682059893646,3573
2019-01-01,MAGDALENA,Estrato 3,NO,Estrato 3 - NO,210.0731707317073,82
2019-01-01,MAGDALENA,Estrato 3,SI,Estrato 3 - SI,235.83734685255598,2367
2019-01-01,MAGDALENA,Sin Estrato,NO,Sin Estrato - NO,195.60194174757282,206
2019-01-01,MAGDALENA,Sin Estrato,SI,Sin Estrato - SI,200.10078878177038,1141
2019-01-01,META,Estrato 1,NO,Estrato 1 - NO,227.43977591036415,357
2019-01-01,META,Estrato 1,SI,Estrato 1 - SI,240.47770128703982,3341
2019-01-01,META,Estrato 2,NO,Estrato 2 - NO,231.56796116504853,206
2019-01-01,META,Estrato 2,SI,Estrato 2 - SI,248.15832746065306,4257
2019-01-01,META,Estrato 3,NO,Estrato 3 - NO,228.11290322580646,62
2019-01-01,META,Estrato 3,SI,Estrato 3 - SI,262.32599459250673,2589
2019-01-01,META,Sin Estrato,NO,Sin Estrato - NO,217.03508771929825,57
2019-01-01,META,Sin Estrato,SI,Sin Estrato - SI,219.08333333333334,264
2019-01-01,NARIÑO,Estrato 1,NO,Estrato 1 - NO,231.35016835016836,891
2019-01-01,NARIÑO,Estrato 1,SI,Estrato 1 - SI,246.28989395681614,7827
2019-01-01,NARIÑO,Estrato 2,NO,Estrato 2 - NO,230.25641025641025,195
2019-01-01,NARIÑO,Estrato 2,SI,Estrato 2 - SI,258.0598450440823,3743
2019-01-01,NARIÑO,Estrato 3,NO,Estrato 3 - NO,210.64912280701753,57
2019-01-01,NARIÑO,Estrato 3,SI,Estrato 3 - SI,264.0132241813602,1588
2019-01-01,NARIÑO,Sin Estrato,NO,Sin Estrato - NO,196.97297297297297,148
2019-01-01,NARIÑO,Sin Estrato,SI,Sin Estrato - SI,213.1695652173913,690
2019-01-01,NORTE SANTANDER,Estrato 1,NO,Estrato 1 - NO,236.16491228070174,570
2019-01-01,NORTE SANTANDER,Estrato 1,SI,Estrato 1 - SI,250.55901307309887,5431
2019-01-01,NORTE SANTANDER,Estrato 2,NO,Estrato 2 - NO,243.26591760299627,267
2019-01-01,NORTE SANTANDER,Estrato 2,SI,Estrato 2 - SI,258.2547280334728,5975
2019-01-01,NORTE SANTANDER,Estrato 3,NO,Estrato 3 - NO,228.26829268292684,41
2019-01-01,NORTE SANTANDER,Estrato 3,SI,Estrato 3 - SI,268.6960257787325,1862
2019-01-01,NORTE SANTANDER,Sin Estrato,NO,Sin Estrato - NO,223.6875,48
2019-01-01,NORTE SANTANDER,Sin Estrato,SI,Sin Estrato - SI,224.31428571428572,245
2019-01-01,PUTUMAYO,Estrato 1,NO,Estrato 1 - NO,228.12177121771217,271
2019-01-01,PUTUMAYO,Estrato 1,SI,Estrato 1 - SI,244.41286863270778,1865
2019-01-01,PUTUMAYO,Estrato 2,NO,Estrato 2 - NO,220.08,50
2019-01-01,PUTUMAYO,Estrato 2,SI,Estrato 2 - SI,243.21386430678467,678
2019-01-01,PUTUMAYO,Estrato 3,NO,Estrato 3 - NO,216.26666666666668,15
2019-01-01,PUTUMAYO,Estrato 3,SI,Estrato 3 - SI,241.83495145631068,206
2019-01-01,PUTUMAYO,Sin Estrato,NO,Sin Estrato - NO,211.75572519083968,131
2019-01-01,PUTUMAYO,Sin Estrato,SI,Sin Estrato - SI,220.0375,320
2019-01-01,QUINDIO,Estrato 1,NO,Estrato 1 - NO,228.76729559748426,159
2019-01-01,QUINDIO,Estrato 1,SI,Estrato 1 - SI,242.85157232704404,1590
2019-01-01,QUINDIO,Estrato 2,NO,Estrato 2 - NO,224.4368932038835,103
2019-01-01,QUINDIO,Estrato 2,SI,Estrato 2 - SI,252.81931166347994,2092
2019-01-01,QUINDIO,Estrato 3,NO,Estrato 3 - NO,223.92857142857142,28
2019-01-01,QUINDIO,Estrato 3,SI,Estrato 3 - SI,265.5976833976834,1295
2019-01-01,QUINDIO,Sin Estrato,NO,Sin Estrato - NO,195.66666666666666,12
2019-01-01,QUINDIO,Sin Estrato,SI,Sin Estrato - SI,223.7674418604651,86
2019-01-01,RISARALDA,Estrato 1,NO,Estrato 1 - NO,230.35096153846155,208
2019-01-01,RISARALDA,Estrato 1,SI,Estrato 1 - SI,238.29866071428572,2240
2019-01-01,RISARALDA,Estrato 2,NO,Estrato 2 - NO,230.26506024096386,166
2019-01-01,RISARALDA,Estrato 2,SI,Estrato 2 - SI,249.7900712965408,3787
2019-01-01,RISARALDA,Estrato 3,NO,Estrato 3 - NO,233.21153846153845,52
2019-01-01,RISARALDA,Estrato 3,SI,Estrato 3 - SI,261.17894736842106,2375
2019-01-01,RISARALDA,Sin Estrato,NO,Sin Estrato - NO,191.66666666666666,24
2019-01-01,RISARALDA,Sin Estrato,SI,Sin Estrato - SI,222.67441860465115,129
2019-01-01,SAN ANDRES,Estrato 1,NO,Estrato 1 - NO,196.57142857142858,7
2019-01-01,SAN ANDRES,Estrato 1,SI,Estrato 1 - SI,226.78333333333333,120
2019-01-01,SAN ANDRES,Estrato 2,NO,Estrato 2 - NO,201.125,16
2019-01-01,SAN ANDRES,Estrato 2,SI,Estrato 2 - SI,231.16299559471366,227
2019-01-01,SAN ANDRES,Estrato 3,NO,Estrato 3 - NO,222.33333333333334,6
2019-01-01,SAN ANDRES,Estrato 3,SI,Estrato 3 - SI,248.281045751634,153
2019-01-01,SAN ANDRES,Sin Estrato,NO,Sin Estrato - NO,247.0,1
2019-01-01,SAN ANDRES,Sin Estrato,SI,Sin Estrato - SI,193.21428571428572,14
2019-01-01,SANTANDER,Estrato 1,NO,Estrato 1 - NO,242.38888888888889,756
2019-01-01,SANTANDER,Estrato 1,SI,Estrato 1 - SI,252.3831061854126,6677
2019-01-01,SANTANDER,Estrato 2,NO,Estrato 2 - NO,251.128,375
2019-01-01,SANTANDER,Estrato 2,SI,Estrato 2 - SI,263.0157817470027,8174
2019-01-01,SANTANDER,Estrato 3,NO,Estrato 3 - NO,236.28181818181818,110
2019-01-01,SANTANDER,Estrato 3,SI,Estrato 3 - SI,277.43869209809264,5138
2019-01-01,SANTANDER,Sin Estrato,NO,Sin Estrato - NO,223.05769230769232,52
2019-01-01,SANTANDER,Sin Estrato,SI,Sin Estrato - SI,235.39076923076922,325
2019-01-01,SUCRE,Estrato 1,NO,Estrato 1 - NO,226.49193548387098,620
2019-01-01,SUCRE,Estrato 1,SI,Estrato 1 - SI,238.39067656765675,4848
2019-01-01,SUCRE,Estrato 2,NO,Estrato 2 - NO,222.45112781954887,133
2019-01-01,SUCRE,Estrato 2,SI,Estrato 2 - SI,249.0849346656418,2602
2019-01-01,SUCRE,Estrato 3,NO,Estrato 3 - NO,204.02272727272728,44
2019-01-01,SUCRE,Estrato 3,SI,Estrato 3 - SI,237.61065088757397,845
2019-01-01,SUCRE,Sin Estrato,NO,Sin Estrato - NO,203.46363636363637,110
2019-01-01,SUCRE,Sin Estrato,SI,Sin Estrato - SI,204.0791208791209,455
2019-01-01,TOLIMA,Estrato 1,NO,Estrato 1 - NO,218.7875,560
2019-01-01,TOLIMA,Estrato 1,SI,Estrato 1 - SI,231.1253202888423,4293
2019-01-01,TOLIMA,Estrato 2,NO,Estrato 2 - NO,222.89634146341464,328
2019-01-01,TOLIMA,Estrato 2,SI,Estrato 2 - SI,244.88346363770466,6779
2019-01-01,TOLIMA,Estrato 3,NO,Estrato 3 - NO,223.8375,80
2019-01-01,TOLIMA,Estrato 3,SI,Estrato 3 - SI,259.35880398671094,2408
2019-01-01,TOLIMA,Sin Estrato,NO,Sin Estrato - NO,207.35593220338984,59
2019-01-01,TOLIMA,Sin Estrato,SI,Sin Estrato - SI,208.86363636363637,242
2019-01-01,VALLE,Estrato 1,NO,Estrato 1 - NO,223.63337547408344,791
2019-01-01,VALLE,Estrato 1,SI,Estrato 1 - SI,238.0793601968625,9753
2019-01-01,VALLE,Estrato 2,NO,Estrato 2 - NO,227.70967741935485,558
2019-01-01,VALLE,Estrato 2,SI,Estrato 2 - SI,250.89525121343303,15246
2019-01-01,VALLE,Estrato 3,NO,Estrato 3 - NO,229.82564102564103,195
2019-01-01,VALLE,Estrato 3,SI,Estrato 3 - SI,261.47445479676463,9767
2019-01-01,VALLE,Sin Estrato,NO,Sin Estrato - NO,198.50515463917526,97
2019-01-01,VALLE,Sin Estrato,SI,Sin Estrato - SI,213.0029761904762,672
2019-01-01,VAUPES,Estrato 1,NO,Estrato 1 - NO,208.80769230769232,26
2019-01-01,VAUPES,Estrato 1,SI,Estrato 1 - SI,231.47619047619048,84
2019-01-01,VAUPES,Estrato 2,NO,Estrato 2 - NO,200.6,5
2019-01-01,VAUPES,Estrato 2,SI,Estrato 2 - SI,227.76190476190476,21
2019-01-01,VAUPES,Estrato 3,NO,Estrato 3 - NO,195.0,6
2019-01-01,VAUPES,Estrato 3,SI,Estrato 3 - SI,194.6,10
2019-01-01,VAUPES,Sin Estrato,NO,Sin Estrato - NO,195.9245283018868,53
2019-01-01,VAUPES,Sin Estrato,SI,Sin Estrato - SI,201.79310344827587,58
2019-01-01,VICHADA,Estrato 1,NO,Estrato 1 - NO,224.92857142857142,42
2019-01-01,VICHADA,Estrato 1,SI,Estrato 1 - SI,232.03191489361703,188
2019-01-01,VICHADA,Estrato 2,NO,Estrato 2 - NO,226.33333333333334,9
2019-01-01,VICHADA,Estrato 2,SI,Estrato 2 - SI,241.66666666666666,72
2019-01-01,VICHADA,Estrato 3,NO,Estrato 3 - NO,218.0,3
2019-01-01,VICHADA,Estrato 3,SI,Estrato 3 - SI,245.03225806451613,31
2019-01-01,VICHADA,Sin Estrato,NO,Sin Estrato - NO,191.84848484848484,33
